 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,235690,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,16479.27362,50.91433663,21426.36364,29068.63595,95946,26,235690,39281.66667,33587.01856,95946,453,81534,20383.5,30045.26887,63740,48,0,0,0,0,152,112,29.7000297,21.21430693,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,25757146,10,12,842,8178,411,0,84.2,166.5324793,2455,0,681.5,817.4947873,350.1940782,0.854131898,1226530.762,3026757.878,10000000,31,22800000,2536238.0,4325139.101,10100000,170,25700000,2336915.182,3968860.117,10100000,37,0,0,0,0,212,276,0.388241772,0.465890126,0,2455,392.173913,664.2722369,441257.6047,0,0,0,1,0,0,0,0,1,410.0,84.2,681.5,212,0,0,0,0,0,0,10,842,12,8178,8192,66,9,20,1413356.0,1926513.84,2775607,51105,9999715.0,17606.95885,10000000,9987265,BENIGN
123,16657,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,5763.342739,120.0696404,16657.0,0.0,16657,16657,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,60.0348202,60.0348202,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,305,2,2,94,230,47,47,47.0,0.0,115,115,115.0,0.0,1062295.082,13114.7541,101.6666667,174.3597813,303,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,6557.377049,6557.377049,47,115,74.2,37.24513391,1387.2,0,0,0,0,0,0,0,0,1,92.75,47.0,115.0,64,0,0,0,0,0,0,2,94,2,230,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23892,1,1,43,105,43,43,43.0,0.0,105,105,105.0,0.0,6194.542106,83.71002846,23892.0,0.0,23892,23892,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41.85501423,41.85501423,43,105,63.66666667,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1,95.5,43.0,105.0,20,0,0,0,0,0,0,1,43,1,105,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5960536,8,6,394,3716,213,0,49.25,78.32669678,1460,0,619.3333333,679.9090135,689.5353035,2.348782056,458502.7692,1563814.735,5660256,4,5960536,851505.1429,2121986.099,5660256,4,76546,15309.2,18787.17069,40854,48,0,0,0,0,172,132,1.342161175,1.006620881,0,1460,274.0,503.4902467,253502.4286,0,0,0,1,0,0,0,0,0,293.5714286,49.25,619.3333333,172,0,0,0,0,0,0,8,394,6,3716,8192,119,7,20,300276.0,0.0,300276,300276,5660256.0,0.0,5660256,5660256,BENIGN
38066,18119,1,2,11,0,11,11,11.0,0.0,0,0,0.0,0.0,607.0975219,165.5720514,9059.5,12807.82513,18116,3,0,0.0,0.0,0,0,3,3.0,0.0,3,3,1,0,0,0,32,64,55.19068381,110.3813676,0,11,5.5,6.350852961,40.33333333,0,1,0,0,1,1,0,0,2,7.333333333,11.0,0.0,32,0,0,0,0,0,0,1,11,2,0,235,274,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30553,2,2,72,128,36,36,36.0,0.0,64,64,64.0,0.0,6546.002029,130.9200406,10184.33333,17636.31879,30549,0,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,64,65.46002029,65.46002029,36,64,47.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,59.0,36.0,64.0,64,0,0,0,0,0,0,2,72,2,128,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57658,999922,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12.00093607,2.000156012,999922.0,0.0,999922,999922,999922,999922.0,0.0,999922,999922,0,0.0,0.0,0,0,0,0,0,0,40,0,2.000156012,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,4841,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,209,2,2,62,94,31,31,31.0,0.0,47,47,47.0,0.0,746411.4833,19138.75598,69.66666667,115.4700538,203,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,80,9569.37799,9569.37799,31,47,37.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,46.75,31.0,47.0,64,0,0,0,0,0,0,2,62,2,94,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
