 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,194,2,2,66,386,33,33,33.0,0.0,193,193,193.0,0.0,2329896.907,20618.5567,64.66666667,106.8097998,188,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,10309.27835,10309.27835,33,193,97.0,87.6356092,7680.0,0,0,0,0,0,0,0,0,1,121.25,33.0,193.0,40,0,0,0,0,0,0,2,66,2,386,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30883,2,2,66,150,33,33,33.0,0.0,75,75,75.0,0.0,6994.13917,129.5210957,10294.33333,17825.11221,30877,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,64,64.76054787,64.76054787,33,75,49.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,62.25,33.0,75.0,40,0,0,0,0,0,0,2,66,2,150,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30865,2,2,88,210,44,44,44.0,0.0,105,105,105.0,0.0,9654.948971,129.5966305,10288.33333,17814.71991,30859,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,64.79831524,64.79831524,44,105,68.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,85.5,44.0,105.0,40,0,0,0,0,0,0,2,88,2,210,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,361,2,2,58,186,29,29,29.0,0.0,93,93,93.0,0.0,675900.277,11080.33241,120.3333333,204.9617851,357,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,80,80,5540.166205,5540.166205,29,93,54.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,68.25,29.0,93.0,80,0,0,0,0,0,0,2,58,2,186,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,4255136,31,31,8010,62631,1163,0,258.3870968,452.8044963,4125,0,2020.354839,1653.122067,16601.34952,14.57062712,69756.32787,313286.9122,1953474,3,2301662,76722.06667,275049.7516,1285529,48,4254856,141828.5333,450807.531,1991760,3,0,0,0,0,1000,1000,7.28531356,7.28531356,0,4125,1121.285714,1489.387809,2218276.046,0,0,0,1,0,0,0,0,1,1139.370968,258.3870968,2020.354839,1000,0,0,0,0,0,0,31,8010,31,62631,29200,8,9,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30658,1,1,47,79,47,47,47.0,0.0,79,79,79.0,0.0,4109.857134,65.23582752,30658.0,0.0,30658,30658,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.61791376,32.61791376,47,79,57.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,86.5,47.0,79.0,20,0,0,0,0,0,0,1,47,1,79,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,66024173,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.908025823,0.060583871,22000000.0,38100000.0,66000000,23974,66000000,66000000.0,0.0,66000000,66000000,66000000,66000000.0,0.0,66000000,66000000,0,0,0,0,52,64,0.030291936,0.030291936,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,52,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,23974.0,0.0,23974,23974,66000000.0,0.0,66000000,66000000,BENIGN
443,567691,8,7,382,3788,201,0,47.75,74.77728838,1460,0,541.1428571,661.7178222,7345.545376,26.42282509,40549.35714,88108.01038,338584,39,550170,78595.71429,116261.5725,338584,4135,527612,87935.33333,148139.4675,378817,49,0,0,0,0,172,152,14.09217338,12.33065171,0,1460,260.625,493.1293103,243176.5167,0,0,0,1,0,0,0,0,0,278.0,47.75,541.1428571,172,0,0,0,0,0,0,8,382,7,3788,8192,60,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50954,40,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,300000.0,50000.0,40.0,0.0,40,40,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,25000.0,25000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,292,16226,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
45099,51,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19607.84314,19607.84314,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,362,350,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,341,2,2,94,196,47,47,47.0,0.0,98,98,98.0,0.0,850439.8827,11730.20528,113.6666667,97.60293711,191,4,4,4.0,0.0,4,4,191,191.0,0.0,191,191,0,0,0,0,64,64,5865.102639,5865.102639,47,98,67.4,27.93385043,780.3,0,0,0,0,0,0,0,0,1,84.25,47.0,98.0,64,0,0,0,0,0,0,2,94,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,207,2,2,80,180,40,40,40.0,0.0,90,90,90.0,0.0,1256038.647,19323.6715,69.0,35.51056181,110,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,40,40,9661.835749,9661.835749,40,90,60.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,75.0,40.0,90.0,40,0,0,0,0,0,0,2,80,2,180,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
52363,13287,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,903.138406,150.5230677,13287.0,0.0,13287,13287,13287,13287.0,0.0,13287,13287,0,0.0,0.0,0,0,0,0,0,0,40,0,150.5230677,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,72938,1,1,54,179,54,54,54.0,0.0,179,179,179.0,0.0,3194.493954,27.42054896,72938.0,0.0,72938,72938,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,13.71027448,13.71027448,54,179,95.66666667,72.16878365,5208.333333,0,0,0,0,0,0,0,0,1,143.5,54.0,179.0,20,0,0,0,0,0,0,1,54,1,179,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
